area,classe,year,Bacia,percent
9536.377950160217,25,2019,7616,0.67
0.877785400390625,27,2019,7616,0.0
224.7124007284961,33,2019,7616,0.02
9506.663530620008,3,2020,7616,0.67
699829.464942589,4,2020,7616,49.24
10829.443626153025,12,2020,7616,0.76
691475.7769876989,21,2020,7616,48.65
9431.430574755292,25,2020,7616,0.66
0.7898342651367187,27,2020,7616,0.0
228.814931225011,33,2020,7616,0.02
9422.724786878416,3,2021,7616,0.66
685314.2911174218,4,2021,7616,48.22
10777.47226427445,12,2021,7616,0.76
705795.6607101994,21,2021,7616,49.66
9765.787523340716,25,2021,7616,0.69
0.5267884399414062,27,2021,7616,0.0
225.9212367486928,33,2021,7616,0.02
9394.009290417243,3,2022,7616,0.66
654173.5726257622,4,2022,7616,46.03
10651.735809361086,12,2022,7616,0.75
736920.1158123882,21,2022,7616,51.85
9824.5843214744,25,2022,7616,0.69
0.6147395751953125,27,2022,7616,0.0
337.7518282988418,33,2022,7616,0.02
9387.496003777844,3,2023,7616,0.66
655518.7020138381,4,2023,7616,46.12
9074.571446723196,12,2023,7616,0.64
736849.0957338446,21,2023,7616,51.84
10158.880508558776,25,2023,7616,0.71
0.6147395751953125,27,2023,7616,0.0
313.0239809655277,33,2023,7616,0.02
317887.7664682551,3,2016,745,48.64
299208.3702110551,4,2016,745,45.78
1153.362951295336,12,2016,745,0.18
30428.10476221092,21,2016,745,4.66
3811.308962741741,25,2016,745,0.58
1061.2007263244652,33,2016,745,0.16
317692.65993754985,3,2017,745,48.61
299261.1365731391,4,2017,745,45.79
1104.8699985291232,12,2017,745,0.17
30300.00099807673,21,2017,745,4.64
4122.983727737275,25,2017,745,0.63
1068.4628468566957,33,2017,745,0.16
316988.48183063965,3,2018,745,48.5
300223.145641967,4,2018,745,45.94
1200.850197829638,12,2018,745,0.18
29946.874066083205,21,2018,745,4.58
4054.862737830291,25,2018,745,0.62
1135.8996075378464,33,2018,745,0.17
310891.3944580412,3,2019,745,47.57
305908.618793766,4,2019,745,46.81
1191.9242938217835,12,2019,745,0.18
30462.55062669794,21,2019,745,4.66
4058.523073375393,25,2019,745,0.62
1037.1028361755436,33,2019,745,0.16
308791.03996337415,3,2020,745,47.25
307348.89246571506,4,2020,745,47.03
1309.947278918175,12,2020,745,0.2
31069.773296054067,21,2020,745,4.75
4024.36769174697,25,2020,745,0.62
1006.0933860656776,33,2020,745,0.15
306364.43801858096,3,2021,745,46.88
309796.0980693688,4,2021,745,47.4
1329.8186331456343,12,2021,745,0.2
31050.76034667345,21,2021,745,4.75
4003.534016011536,25,2021,745,0.61
1005.4649980957062,33,2021,745,0.15
312817.6358791006,3,2022,745,47.86
302424.905537742,4,2022,745,46.27
1195.7251191535267,12,2022,745,0.18
32126.505377338144,21,2022,745,4.92
3952.668771070704,25,2022,745,0.6
1032.6733974670449,33,2022,745,0.16
312709.38893327024,3,2023,745,47.85
302104.3292168998,4,2023,745,46.23
693.5896297254345,12,2023,745,0.11
33119.52054789264,21,2023,745,5.07
3940.1415844244298,25,2023,745,0.6
983.1441696655352,33,2023,745,0.15
46.73359484863281,3,2016,7424,0.01
793261.5252644655,4,2016,7424,85.94
4342.258018394591,12,2016,7424,0.47
123935.10299503076,21,2016,7424,13.43
1331.3412035565786,25,2016,7424,0.14
112.34702875976564,33,2016,7424,0.01
50.02101717529297,3,2017,7424,0.01
800221.8818431875,4,2017,7424,86.7
